name,spk,mgspk,mgspkerr,r56,err56,r54,err54,r57,err57,r58,err58,r52,err52
W1,G2,2.35,3,430.817,0.201,5250.443,0.743,512.112,0.335,209.575,0.177,0.994,0.023
W2,G3,2.35,3,394.553,0.162,5013.488,0.944,472.864,0.215,193.492,0.163,0.993,0.019
L1,G2,2.35,3,455.516,0.205,5666.121,0.356,535.35,0.245,219.436,0.19,0.993,0.015
L2,G2,2.35,3,496.922,0.304,5829.005,0.619,604.754,0.534,245.678,0.367,0.995,0.017
L3,G2,2.35,3,325.652,0.137,4431.277,0.46,381.265,0.148,156.777,0.104,0.993,0.015
L4,G2,2.35,3,99.953,0.225,1549.096,0.471,120.705,0.333,48.823,0.285,0.996,0.039
L5,G2,2.35,3,446.412,0.422,4949.902,1.554,555.937,0.539,221.527,0.449,0.997,0.038
L6,G2,2.35,3,271.58,0.459,3615.798,1.843,315.378,0.407,129.897,0.302,0.992,0.041
L7,G2,2.35,3,408.374,0.295,5188.303,0.821,478.547,0.286,196.939,0.174,0.993,0.022
L8b,G2,2.35,3,352.109,0.198,4734.127,1.125,415.602,0.288,171.911,0.198,0.992,0.027
L9,G2,2.35,3,343.125,0.286,4697.478,0.846,399.032,0.212,166.219,0.26,0.993,0.032
L10,G2,2.35,3,334.708,0.224,4482.889,0.794,397.982,0.205,163.671,0.121,0.996,0.019
L11,G2,2.35,3,273.167,0.182,3941.881,0.668,324.766,0.23,133.306,0.179,0.994,0.022
L12,G2,2.35,3,270.649,0.173,3847.564,0.611,318.064,0.246,130.82,0.149,0.993,0.028
R,G2,2.35,3,90.137,0.098,1503.23,0.39,105.858,0.118,43.487,0.073,0.995,0.017
