name,spk,mgspk,mgspkerr,r56,err56,r54,err54,r57,err57,r58,err58,r52,err52
B1,G2,2.35,3,415.8,0.23,5316.89,0.9,486.71,0.31,200.86,0.25,0.9897,0.03
B1,G2,2.35,3,271.96,0.45,3818.04,0.69,315.59,0.44,129.93,0.45,0.9905,0.02
B1,G2,2.35,3,424.8,0.24,5422.75,0.49,491.59,0.35,204.11,0.24,0.9933,0.03
B1,G2,2.35,3,397.94,0.26,5046.88,1.09,459.95,0.45,193.1,0.25,0.9896,0.02
B1,G2,2.35,3,411.51,0.32,5339.25,1.16,483.84,0.22,200.7,0.29,0.99,0.04
B1,G2,2.35,3,384.41,0.24,5043.86,0.86,450.88,0.21,185.84,0.14,0.9927,0.02
B1,G2,2.35,3,442.27,0.37,5618.09,0.92,511.8,0.45,213.46,0.28,0.99,0.03
B1,G2,2.35,3,411.21,0.82,4698.02,2.13,475.19,0.81,197.93,0.43,0.9905,0.04
B1,G2,2.35,3,403.62,0.26,5510.3,1.08,502.73,0.3,209.26,0.15,0.9911,0.02
B1,G2,2.35,3,304.15,0.64,4068.68,0.84,350.76,0.56,145.41,0.62,0.9908,0.02
B1,G2,2.35,3,452.68,0.37,5399.2,1.39,530.25,0.54,221.89,0.31,0.9909,0.03
B1,G2,2.35,3,428.61,0.2,5365.1,0.63,507.19,0.34,208.49,0.17,0.992,0.02
B1,G2,2.35,3,245.03,0.32,3508.91,0.95,283.34,0.32,117.18,0.22,0.9908,0.03
B1,G2,2.35,3,520.51,0.35,6089.87,1.37,611.7,0.51,252.3,0.32,0.9917,0.03
B1,G2,2.35,3,395.08,0.45,5207.08,0.56,465.49,0.61,191.07,0.56,0.9922,0.02
B1,G2,2.35,3,430.817,0.201,5250.443,0.743,512.112,0.335,209.575,0.177,0.994,0.023
B2,G2,2.35,3,394.553,0.162,5013.488,0.944,472.864,0.215,193.492,0.163,0.993,0.019
B3,G2,2.35,3,455.516,0.205,5666.121,0.356,535.35,0.245,219.436,0.19,0.993,0.015
B4,G2,2.35,3,496.922,0.304,5829.005,0.619,604.754,0.534,245.678,0.367,0.995,0.017
B5,G2,2.35,3,325.652,0.137,4431.277,0.46,381.265,0.148,156.777,0.104,0.993,0.015
B6,G2,2.35,3,99.953,0.225,1549.096,0.471,120.705,0.333,48.823,0.285,0.996,0.039
B7,G2,2.35,3,446.412,0.422,4949.902,1.554,555.937,0.539,221.527,0.449,0.997,0.038
B8,G2,2.35,3,271.58,0.459,3615.798,1.843,315.378,0.407,129.897,0.302,0.992,0.041
B9,G2,2.35,3,408.374,0.295,5188.303,0.821,478.547,0.286,196.939,0.174,0.993,0.022
B10,G2,2.35,3,352.109,0.198,4734.127,1.125,415.602,0.288,171.911,0.198,0.992,0.027
B11,G2,2.35,3,343.125,0.286,4697.478,0.846,399.032,0.212,166.219,0.26,0.993,0.032
B12,G2,2.35,3,334.708,0.224,4482.889,0.794,397.982,0.205,163.671,0.121,0.996,0.019
B13,G2,2.35,3,273.167,0.182,3941.881,0.668,324.766,0.23,133.306,0.179,0.994,0.022
B14,G2,2.35,3,270.649,0.173,3847.564,0.611,318.064,0.246,130.82,0.149,0.993,0.028
B15,G2,2.35,3,90.137,0.098,1503.23,0.39,105.858,0.118,43.487,0.073,0.995,0.017
