Label,blk,spk,mgspk,errmgspk,r74,err74,r64,err64,r76,err76,r65,err65,r86,err86,r84,err84,r52,err52
W1,B1,G2,2.35,3,30.228,0.082,41.7068,0.1188,0.72293,0.0204,0.248,0.0154,1.4359,0.023,60.08,0.078,0.99364,0.014
W2,B2,G3,2.35,3,30.428,0.102,42.306,0.1188,0.72047,0.029756404,0.118,0.0213,1.4228,0.031,60.092,0.104,0.99277,0.015
L1,B1,G2,2.35,3,40.704,0.054,58.5322,0.1188,0.69464,0.0204,3.231,0.0143,1.3003,0.01,76.2,0.048,0.99272,0.017
L2,B1,G2,2.35,3,40.981,0.082,58.813,0.1188,0.69474,0.0204,3.493,0.0158,1.2831,0.011,75.696,0.082,0.99206,0.014
L3,B1,G2,2.35,3,130.396,0.141,202.956,0.1188,0.64326,0.0204,1.083,0.0137,1.0071,0.014,204.156,0.133,0.9926,0.011
L4,B1,G2,2.35,3,155.49,0.123,244.3511,0.11755807,0.63963,0.0204,0.451,0.0169,0.9897,0.019,240.714,0.128,0.99327,0.012
L5,B1,G2,2.35,3,58.979,0.063,87.675,0.1188,0.671,0.0204,0.829,0.0187,1.16,0.023,101.948,0.067,0.99341,0.026
L6,B1,G2,2.35,3,64.2787,0.0758,96.1989,0.1188,0.66693,0.0204,0.615,0.0121,1.15686,0.018,111.477,0.0768,0.99304,0.0136
L7,B1,G2,2.35,3,165.051,0.0935,258.3889,0.1188,0.63899,0.0204,1.723,0.0123,1.05363,0.0093,272.112,0.0868,0.99326,0.0134
L8b,B1,G2,2.35,3,1521.0217,0.251,2449.8443,0.19378899,0.62415,0.0204,5.491,0.0155,0.99585,0.0074,2426.856,0.242,0.99302,0.0167
L9,B1,G2,2.35,3,3004.3851,0.694,4934.5443,0.552795763622513,0.62382,0.0204,3.319,0.0258,0.99175,0.0176,4775.506,0.6598,0.9949,0.0285
L10,B1,G2,2.35,3,3436.355,0.3616,5518.9767,0.21417547,0.62332,0.0204,8.901,0.0158,0.97505,0.0098,5378.502,0.3469,0.99208,0.021
L11,B1,G2,2.35,3,2346.9917,0.2951,3827.9084,0.19537507,0.62354,0.0204,10.218,0.0206,0.97541,0.0082,3673.239,0.2793,0.99163,0.0247
L12,B1,G2,2.35,3,1803.969,0.2416,2913.631,0.17582299,0.62397,0.0204,4.071,0.0144,0.97651,0.009,2823.074,0.2362,0.99284,0.0176
R,B1,G2,2.35,3,1724.5258,0.2012,2757.3619,0.1602399,0.62397,0.0204,5.914,0.0129,0.97646,0.0073,2698.881,0.1945,0.99228,0.015
